"id","unit_name","description","unit_code","unit_type_id","property_id","organization_id","owner_id","unit_condition","address","country_code","province","city","zip_code","latitude","longitude","address_same_as_property","images_same_as_unittype","main_image","images","status","created_at","updated_at","pms_id","unit_group_sequence","task_image","task_room_image","notes","dateRanges"

883,"Halley House","<p><br></p>","815-302 Main St",289,220,8,162,"Ready","815 Main St.",237,"TN","Nashville","37206","36.1761975","-86.75761949999999",False,False,"","[{""url"": ""https://firebasestorage.googleapis.com/v0/b/virtual-inspect-5390b.appspot.com/o/unittype%2FNash%20Bash.jpg?alt=media&token=39f2abcf-903f-4e58-8d50-5955b697dd59"", ""default"": false, ""isTaskImage"": false, ""isTaskRoomImage"": false}]","Active","2024-07-16 00:00:00","2024-08-08 11:15:11.078962",103665,41,"https://firebasestorage.googleapis.com/v0/b/virtual-inspect-5390b.appspot.com/o/unittype%2FNash%20Bash.jpg?alt=media&token=39f2abcf-903f-4e58-8d50-5955b697dd59","{}","{""wifi"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">2nd bedroom closet</span></p>"", ""about"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">Welcome to Halley House, Your Nashville Oasis!</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Location: </strong></b><span class=\""RichTextInputTheme__textBase\"">Discover the heartbeat of Nashville in the vibrant Jolene building, just across the Cumberland River from downtown. Immerse yourself in the Music City's essence, with easy access to restaurants, shopping, bars, wineries, and nightlife. A short walk or rideshare away, explore musical concerts, museums, historic exhibits, and iconic attractions like the Grand Ole Opry, Centennial Park, and the Adventure Science Center. Local cafes and restaurants within walking distance provide delicious options for every meal.</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Outdoor Features: </strong></b><span class=\""RichTextInputTheme__textBase\"">As the sun sets, unwind on the rooftop terrace with a cocktail by the inviting firepit, enjoying the breathtaking views and cool evening breezes.</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Indoor Amenities: </strong></b><span class=\""RichTextInputTheme__textBase\"">Start your day at the nearby coffee shop, then return to Halley House's cozy interior. The open floor plan ensures connection and comfort, featuring a living room with a smart TV, a sleek modern kitchen with stainless steel appliances, and a dining table for 4. </span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Sleeping Arrangements: </strong></b><span class=\""RichTextInputTheme__textBase\"">This home comfortably sleeps 6 guests. Bedroom #1 boasts a king-size bed, while Bedroom #2 offers a king-size bed and an ensuite bathroom with a glass walk-in shower. A queen-size sleeper sofa in the living room provides additional sleeping space. An additional full guest bathroom with a shower/tub combo is also available.</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Important Notes:</strong></b></p><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">Washer and dryer in the home.</span></li><li value=\""2\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">Garage parking for 1 vehicle with overflow parking on the street (first come, first served).</span></li></ul><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Local Attractions: </strong></b><span class=\""RichTextInputTheme__textBase\"">Halley House is ideally located just 2 miles from downtown Nashville, the heart of \""Music City.\"" Explore endless shopping, dining, and the exciting nightlife that makes Nashville unique. Dive into the rich musical history with attractions like honky-tonks, the Johnny Cash Museum, Music Row, the Grand Ole Opry House, the Country Music Hall of Fame and Museum, and Ryman Auditorium. </span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">Your Nashville adventure begins at Halley House, where comfort meets the soul of the city!</span></p>"", ""access"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">communal door 273 86 96</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">Unit code 705 06 71 </span></p>"", ""general"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">Unit 302</span></p>"", ""direction"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">1. Head west on Terminal Dr (Approx. 0.2 miles, 1 min)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">2. Slight right onto Terminal Dr (Continue on Terminal Dr) </span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">3. Keep left to stay on Terminal Dr (Continue on Terminal Dr)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">4. Merge onto I-40 W (Approx. 2.5 miles, 3 mins)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">5. Keep right to stay on I-40 W (Continue on I-40 W)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">6. Keep right at the fork to continue on I-24 W, follow signs for Clarksville/Louisville/Interstate 65 N (Approx. 7.5 miles, 8 mins)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">7. Take exit 47A for US-31E N/E Spring St toward Ellington Pkwy (Approx. 0.3 miles, 1 min)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">8. Merge onto US-31W S/US-431 S/Spring St/US Hwy 41 S (Continue on US-431 S/Spring St/US Hwy 41 S)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">9. Continue to follow US-431 S/Spring St/US Hwy 41 S (Approx. 1.5 miles, 3 mins)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">10. Turn left onto Main St (Approx. 0.2 miles, 1 min)</span></p><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">11. Turn left onto Neill Ave (Approx. 0.1 miles, 1 min)</span></p><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem RichTextInputTheme__nestedListItem\""><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">Destination will be on the right</span></li></ul></li><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Note:</strong></b><span class=\""RichTextInputTheme__textBase\""> These times are based on road speed limits.</span></li></ul>"", ""trash_info"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><span class=\""RichTextInputTheme__textBase\"">A dumpster is available for trash.</span><br></p>"", ""guest_access"": ""<p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">Parking:</strong></b></p><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">This home offers parking for up to 1 vehicle in the parking garage. Street parking is available as needed on a first come, first served basis.</span></li></ul><p class=\""RichTextInputTheme__paragraph\"" dir=\""ltr\""><b><strong class=\""RichTextInputTheme__textBase RichTextInputTheme__textBold\"">The entry door is equipped with an electronic lock</strong></b></p><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">The code will activate right at 4 PM </span></li><li value=\""2\"" class=\""RichTextInputTheme__listItem RichTextInputTheme__nestedListItem\""><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">To unlock, enter the code provided followed by a checkmark.</span></li></ul></li><li value=\""2\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">The door does NOT lock automatically so please lock when you leave. </span></li><li value=\""3\"" class=\""RichTextInputTheme__listItem RichTextInputTheme__nestedListItem\""><ul class=\""RichTextInputTheme__ul\""><li value=\""1\"" class=\""RichTextInputTheme__listItem\""><span class=\""RichTextInputTheme__textBase\"">To lock, press any key and wait to hear the deadbolt.</span></li></ul></li></ul>""}","[""{\""id\"":\""d6a87821-6b85-46ff-b4c3-d232ea66f2fa\"",\""cost\"":0,\""start_date\"":\""\"",\""end_date\"":\""\""}""]"

928,"3705-Forte Tower -1","","BVH-3705",222,174,7,55,"Ready","Dubai Marina",9,"Dubai","Dubai","20000","0","0",False,False,"","[]","Active","2024-08-12 11:30:48.234558","2024-08-12 11:48:19.008394",248448,5,NULL,NULL,"{""wifi"": """", ""about"": """", ""general"": """", ""direction"": """", ""trash_info"": """", ""guest_access"": """"}","[]"

929,"B-44- Rukan Community","","BVH-B44",221,174,7,55,"Ready","Dubai Marina",9,"Dubai","Dubai","19999","0","0",False,False,"","[]","Active","2024-08-12 11:32:34.095968","2024-08-13 05:26:50.513262",248463,3,NULL,NULL,"{""wifi"": """", ""about"": """", ""general"": """", ""direction"": """", ""trash_info"": """", ""guest_access"": """"}","[]"

930,"B-37- Rukan Community","","BVH-B37",221,174,7,55,"Ready","Dubai Marina",9,"Dubai","Dubai","20000","25.2048493","55.2707828",False,False,"","[]","Delete","2024-08-12 11:33:47.032074","2024-08-12 11:48:19.004728",248446,6,NULL,NULL,"{""wifi"": """", ""about"": """", ""general"": """", ""direction"": """", ""trash_info"": """", ""guest_access"": """"}","[]"

931,"418-Azizi Riviera Building -19","","BVH-418",221,174,7,55,"Ready","Dubai Marina",9,"Dubai","Dubai","20000","25.2048493","55.2707828",False,False,"","[]","Active","2024-08-12 11:35:04.46773","2024-08-12 11:48:19.002595",274009,7,NULL,NULL,"{""wifi"": """", ""about"": """", ""general"": """", ""direction"": """", ""trash_info"": """", ""guest_access"": """"}","[]"
